"date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","sqft_above","sqft_basement","yr_built","yr_renovated","city"
2014-06-10,569000,3,2.75,2380,5100,1.5,0,1,4,1460,930,1935,0,"aa"
2014-05-07,428000,3,2.5,1930,37565,2,0,0,3,1930,0,1990,2009,"al"
2014-06-11,735000,4,1.75,2460,5400,1.5,0,0,5,1450,970,1934,0,"aa"
2014-06-25,360500,4,2,2020,103672,1.5,0,0,4,2200,0,1960,2001,"af"
2014-06-05,411605,3,1,1200,5750,1,0,0,5,1160,0,1947,0,"aa"
2014-05-27,360000,3,1.5,1300,9645,1,0,0,3,1300,0,1971,0,"ad"
2014-07-09,1065000,4,1.75,1880,4800,1.5,0,0,3,1880,0,1908,1983,"aa"
2014-06-25,594000,4,2.5,2170,10140,2,0,0,3,2170,120,1988,2000,"am"
2014-05-06,360000,3,1,1090,8184,1,0,0,4,1090,0,1971,0,"al"
2014-06-13,250600,3,2.25,2210,7904,2,0,0,4,2210,0,1963,0,"an"
2014-06-20,330000,3,2.5,1600,11312,2,0,0,3,1590,0,2005,0,"ao"
2014-07-09,1355000,5,4.5,3830,4800,2.5,0,3,3,3680,500,2006,0,"aa"
2014-05-29,452000,4,1.75,1830,7632,1,0,0,4,1110,720,1947,1988,"aa"
2014-05-02,287200,3,2.5,1880,8744,1,0,0,3,860,880,1940,1994,"aa"
2014-06-27,530000,3,2,2110,12653,1,0,0,3,1530,600,1975,0,"ap"
2014-06-24,295000,1,0.75,430,3475,1,0,0,4,370,0,1949,1983,"ai"
2014-05-12,647000,3,2.5,4120,115434,1,0,0,4,2130,1950,1971,0,"am"
2014-06-20,623000,3,2.5,1850,1804,3,0,0,3,1830,160,2001,0,"aa"
2014-05-09,303500,4,2.75,2481,6365,1.5,0,0,3,1910,530,1972,2002,"aq"
2014-06-30,263400,3,1.5,1940,8800,1,0,0,3,1130,800,1962,2003,"ar"
2014-06-10,285000,3,2,1670,35988,1,0,0,4,1570,0,1958,1972,"as"
2014-05-05,418000,2,2.5,1590,1588,2,0,0,4,1400,280,2002,0,"aa"
2014-06-26,3e+05,4,1,1440,5926,1,0,0,3,1390,200,1955,2005,"ad"
2014-06-04,135000,4,1,1360,4500,1,0,0,4,720,600,1969,0,"an"
2014-07-02,1411600,4,3.5,4030,10800,2,0,0,3,4170,0,2001,0,"ac"
2014-06-19,280000,3,2.5,1600,26977,2,0,0,3,1590,0,1989,0,"at"
2014-05-31,538888,3,1.5,1900,8100,1,0,0,5,1420,430,1954,0,"au"
2014-05-29,650880,2,2.5,2930,2500,2,0,0,3,1650,1260,1991,0,"ac"
2014-06-02,544000,3,1,1050,6041,1,0,0,3,1060,0,1951,1994,"aa"
2014-06-20,625000,3,2.5,2480,27820,2,0,0,3,2480,0,1994,0,"ae"
2014-06-04,310000,1,0.75,930,1279,2,0,0,3,940,0,2005,0,"aa"
2014-06-09,442500,3,1.75,1560,7330,1,0,0,5,1100,400,1966,0,"ac"
2014-06-13,775000,3,2.75,3290,108366,1,0,0,4,3580,0,1980,0,"aj"
2014-05-22,625000,4,2.5,2560,33305,1,0,0,4,2500,0,1975,0,"am"
2014-06-20,1240000,4,3.75,4170,17258,2,0,0,5,2490,1230,1985,0,"av"
2014-06-24,415000,3,1.75,1560,5223,1,0,0,5,900,640,1940,0,"aa"
2014-06-27,1050000,4,4.5,4930,11533,2,0,0,3,4850,0,2005,0,"aw"
2014-05-30,499431,3,2.5,2380,6019,2,0,0,3,2380,0,1994,0,"aa"
2014-06-17,435000,2,1,860,9260,1,0,2,4,870,0,1922,0,"aa"
2014-06-23,249900,3,1.75,1770,8184,1.5,0,0,4,1390,440,1953,1983,"av"
2014-05-09,505000,3,2,1580,3680,1.5,0,0,3,1350,280,1927,2003,"aa"
2014-05-06,484000,5,2,1840,8000,1,0,0,3,1210,620,1956,2000,"ac"
2014-05-20,440000,2,1,1260,5527,1,0,0,5,1240,0,1941,0,"aa"
2014-05-02,626000,4,2,2220,7798,1.5,0,0,4,1690,560,1928,0,"aa"
2014-07-02,305000,3,1,1440,10005,1,0,0,3,1500,0,1961,2003,"au"
2014-05-29,658000,3,2.5,2680,4332,2,0,0,3,2680,0,2014,0,"ag"
2014-07-09,154950,3,1.5,1150,9812,1.5,0,0,4,1150,0,1910,0,"aa"
2014-05-13,1680000,5,5,4590,23716,2,0,0,3,4420,0,1968,1990,"am"
2014-05-30,240000,2,1.75,1390,3622,1,0,0,4,1440,0,1942,1982,"ax"
2014-06-08,540000,3,2.25,1320,13750,2,0,0,3,1330,0,1984,0,"am"
2014-05-14,538000,1,1.75,1550,5000,1.5,0,0,3,1550,140,1909,1948,"aa"
2014-07-01,507500,2,1.25,910,1858,3,0,0,3,910,0,2004,2003,"aa"
2014-05-28,157500,2,1,950,6232,1,0,0,2,930,0,1926,0,"af"
2014-05-19,762000,6,2,2930,11665,1,0,0,4,1420,1500,1962,0,"ae"
2014-06-27,1619999,3,2.5,1710,2000,2,0,0,3,1680,0,2014,0,"aa"
2014-06-11,335000,4,1.75,2310,10290,1,0,0,4,1360,980,1968,0,"ad"
2014-05-13,345000,4,1,1940,9620,1,0,0,3,1090,830,1968,1997,"ad"
2014-05-07,630000,4,2,1520,9191,1,0,0,4,1430,270,1969,0,"ac"
2014-05-13,575000,4,2.25,2170,4300,1.5,0,0,3,1260,900,1925,2002,"aa"
2014-05-08,229000,4,1.5,1950,33888,1,0,0,4,1670,290,1960,2001,"ar"
2014-06-24,615000,3,2.75,2720,8400,1,0,0,3,1690,1030,1985,0,"ag"
2014-05-19,141800,1,1,790,4222,1,0,0,4,800,0,1942,1982,"af"
2014-06-04,375000,3,2.25,1180,844,3,0,0,3,1210,0,2008,0,"aa"
2014-05-16,205000,5,2,2220,26337,2,0,0,4,2230,0,1985,0,"af"
2014-06-24,198995,2,1,1120,2686,1,0,0,3,740,320,1918,0,"aa"
2014-06-10,375000,3,1.75,2390,6953,1,0,0,3,1330,1000,1974,0,"ae"
2014-07-03,26590000,4,4.25,6390,37325,2,0,1,4,5330,1650,2000,0,"ap"
2014-07-08,210000,3,1.5,1090,8250,1,0,0,3,1092,0,1954,2005,"aa"
2014-06-11,619400,2,1,970,5000,1,0,0,5,970,0,1904,0,"aa"
2014-05-02,1200000,5,3.75,3410,5187,2,0,0,3,3490,0,2007,0,"am"
2014-06-12,315000,2,2.5,1160,750,2,0,0,3,1070,0,2011,0,"aa"
2014-07-02,675000,4,2.25,2350,4080,1,0,0,5,1210,1180,1954,0,"aa"
2014-07-10,350000,3,1.5,1460,10018,1,0,0,3,1440,0,1967,2010,"ad"
2014-06-26,460000,4,1.75,1420,8454,1,0,0,4,1390,0,1980,0,"aw"
2014-05-06,379900,3,3.25,1860,9180,1,0,0,5,1490,400,1978,0,"ap"
2014-05-05,8e+05,4,2.5,3310,165528,3,0,0,3,3310,0,1987,2000,"ac"
2014-06-23,0,3,4.5,2100,4905,2,0,0,3,2100,650,1940,1996,"aa"
2014-06-19,510000,3,2.5,1610,3315,2,0,0,3,1610,0,1985,0,"ap"
2014-05-29,302000,2,1.75,1350,11867,1.5,0,0,3,1330,0,1977,2004,"ad"
2014-05-16,238000,5,1.5,2120,6660,1.5,0,0,3,1980,340,1944,0,"aa"
2014-06-10,385000,4,1.75,1890,7800,1,0,0,5,1310,480,1967,0,"ae"
2014-06-19,450000,4,2.5,1670,4611,2,0,0,3,1660,0,2003,0,"aa"
2014-05-08,229000,3,2.5,1680,1368,3,0,0,3,1760,0,2007,0,"aa"
2014-05-20,515000,5,3.5,3370,57499,1,0,0,3,2340,1100,1973,2013,"ap"
2014-07-07,631500,4,1,1200,4958,1.5,0,0,3,1200,0,1926,2003,"aa"
2014-05-12,582000,4,2.25,2470,71874,2,0,0,3,2470,0,1974,0,"aj"
2014-06-02,410000,4,2.75,1940,10720,1,0,0,3,1210,700,1959,1989,"ac"
2014-07-03,439990,4,1.5,1840,10453,1,0,0,3,1330,500,1958,2004,"ac"
2014-07-09,610000,4,2.5,3080,35430,2,0,0,4,3080,0,1990,0,"aj"
2014-05-22,660000,4,3,2400,28300,2,0,0,4,2430,0,1980,0,"ae"
2014-06-26,289659,3,2.5,1960,8991,1,0,0,3,1130,890,1960,2012,"ax"
2014-07-09,630000,3,1.75,2930,78843,1,0,0,3,2760,550,1989,0,"ag"
2014-06-05,547000,4,2.5,2800,8853,2,0,0,4,2800,0,1995,0,"ag"
2014-06-19,340000,4,1,1370,5926,1.5,0,0,3,1360,0,1930,1997,"aa"
2014-06-24,218000,3,2,1770,8645,1,0,0,4,920,790,1948,0,"aa"
2014-06-18,482000,5,2.5,2340,9778,1,0,0,3,1620,680,1958,2004,"aa"
2014-06-09,480000,4,2.5,3030,435600,1,0,2,4,2300,670,1977,0,"af"
2014-06-27,415000,3,1.75,1270,4000,1,0,0,3,1270,0,1959,1989,"ag"
2014-06-23,389800,3,1.75,1890,43560,1,0,0,5,2090,0,1979,0,"aq"
2014-05-29,349000,4,2.5,2280,10117,2,0,0,3,2270,0,1999,0,"ay"
2014-06-02,525000,4,2.25,1820,9350,1,0,0,4,1460,370,1955,2009,"ac"
2014-06-06,5e+05,3,1.5,1290,62290,1.5,0,0,3,1280,0,1926,2003,"ad"
2014-05-30,8e+05,4,2.5,3790,3839,2,0,0,3,3390,300,1964,2000,"ap"
2014-06-11,588000,4,2.5,2430,27820,2,0,2,3,1690,820,1998,2006,"ae"
2014-06-09,525000,5,2.25,2880,13899,2,0,0,4,2890,0,1979,0,"az"
2014-05-05,309950,3,2,1590,12381,1,0,0,4,1140,450,1975,0,"ad"
2014-06-18,515500,3,3.5,2470,7307,2,0,0,3,2450,0,2003,0,"ao"
2014-06-23,362300,2,1,900,4095,1,0,0,3,900,0,1923,1998,"aa"
2014-06-03,269187.5,2,1,940,8062,1,0,0,4,930,0,1947,1988,"ba"
2014-06-27,257500,2,1,1120,9435,1,0,0,3,1120,0,1931,0,"aa"
2014-07-08,468000,3,1.5,1190,5750,1.5,0,0,5,1180,0,1910,1956,"aa"
2014-06-04,455000,3,2.25,1680,35127,1,0,0,3,1790,0,1967,2011,"aj"
2014-06-23,335000,1,1.5,730,40946,1,0,0,3,740,0,1947,2012,"am"
2014-05-30,349900,2,1,1060,8155,1,0,0,3,1060,0,1949,1998,"ae"
2014-06-12,248000,4,2,2080,15837,1,0,0,3,1040,1000,1950,2005,"ai"
2014-05-05,541125,4,3.25,4460,9000,2,0,2,3,3710,1020,2001,0,"ah"
2014-06-13,250000,2,1,1020,7874,1,0,0,4,1020,0,1943,0,"aa"
2014-06-03,613000,5,3,2630,3475,2,0,0,3,1990,540,1996,0,"aa"
2014-07-01,5e+05,3,1.75,1520,4096,1,0,0,3,1050,470,1951,1994,"aa"
2014-06-04,640000,3,2.5,1960,3984,2,0,0,3,1950,0,2013,1923,"ap"
2014-05-16,551000,3,1.5,1830,4950,2,0,0,3,1830,0,1990,2009,"ap"
2014-06-01,1505000,4,3.75,3160,5086,2,0,3,4,2350,930,1909,1989,"aa"
2014-05-07,380000,5,3.75,3120,12353,1,0,0,3,1690,1320,1963,2013,"au"
2014-07-07,1636000,4,2.25,3310,5000,2,0,3,4,2790,360,1900,1971,"bb"
2014-05-21,429000,4,2.5,2800,8494,2,0,0,3,2798,0,2013,1923,"ad"
2014-06-04,4e+05,3,3.25,3890,19023,1,0,0,5,2350,1490,1961,0,"bc"
2014-05-20,525000,5,4.75,4550,10655,2,0,0,3,4500,0,2013,1923,"av"
2014-07-02,851000,4,3.25,4100,22798,2,0,4,3,4120,0,2002,0,"ah"
2014-06-20,436500,3,2.5,2432,5200,2,0,0,3,2440,0,2008,0,"ao"
2014-07-03,850000,4,2.5,2700,4743,2,0,0,3,1960,830,1912,2004,"aa"
2014-07-09,507000,2,2,2370,14878,1,0,0,3,1390,1020,1977,2004,"ae"
2014-06-19,120000,2,1,630,15000,1,0,0,4,620,0,1937,0,"aa"
2014-06-02,820000,4,1.5,2740,6600,1,0,3,3,1390,1300,1951,1994,"aa"
2014-05-07,417250,3,2.25,1606,8165,2,0,0,2,1610,0,1976,0,"ae"
2014-05-22,320000,3,2.25,998,949,2,0,0,3,630,300,2009,0,"aa"
2014-06-25,320000,2,1,860,8308,1,0,0,4,870,0,1924,0,"ax"
2014-06-27,710000,3,2.75,2440,17833,2,0,0,3,2440,0,1988,2000,"ag"
2014-05-20,1275000,4,2.5,3650,7232,1,0,4,4,2290,1290,1948,0,"aa"
2014-07-01,725000,3,2,1600,6428,2,0,0,4,1590,0,1906,1990,"aa"
2014-06-25,245700,4,2.25,2192,7904,2,0,0,4,2200,0,1981,0,"aq"
2014-06-22,802000,3,1.5,1840,3720,1.5,0,0,5,1880,0,1904,0,"aa"
2014-05-21,975000,4,3,3720,10920,2,0,0,3,3720,0,1998,2006,"am"
2014-06-25,680000,4,2.5,2500,1438,1,0,0,5,1360,1200,1953,0,"az"
2014-06-20,850000,5,2.75,2340,10500,2,0,0,5,2340,180,1969,0,"am"
2014-06-20,994500,3,1.75,2360,6280,1.5,0,2,5,2360,0,1916,0,"aa"
2014-05-06,387000,3,2.25,2120,44866,2,0,0,3,2120,0,1983,2009,"aq"
2014-07-02,535000,3,1.75,2260,3800,1.5,0,2,4,1260,970,1927,0,"aa"
2014-06-30,530000,4,2.5,2710,18029,2,0,2,3,2710,0,1989,0,"ag"
2014-05-22,749000,4,2.5,2440,8950,2,0,0,3,1890,530,1987,2000,"ac"
2014-06-18,913000,3,2.75,2590,3909,1.5,0,0,5,1550,1050,1907,0,"aa"
2014-06-09,240000,4,2.25,1830,14653,1,0,0,4,1190,610,1978,2000,"an"
2014-06-24,3e+05,3,1,990,8280,1,0,0,3,980,0,1949,1998,"ai"
2014-06-02,661000,4,2.5,2810,7631,2,0,0,3,2807,0,2001,0,"ah"
2014-07-01,357500,4,1.75,2020,25600,1,0,2,3,2110,0,1967,2011,"aq"
2014-07-07,510000,3,1.75,1420,4665,1,0,0,3,1410,0,2003,0,"au"
2014-06-10,435000,3,2,1440,7480,1,0,0,3,1150,350,1981,2013,"ae"
2014-07-03,439990,3,2.5,1220,1029,3,0,0,3,1200,0,2014,0,"aa"
2014-05-21,396450,3,2.25,1410,8336,1,0,0,3,900,500,1958,2004,"am"
2014-05-27,457500,4,2.25,1820,8702,1,0,0,4,2180,0,1977,0,"ad"
2014-06-03,432000,2,2.5,1520,14250,1,0,0,3,1020,440,1940,1996,"aa"
2014-06-26,695000,3,1.5,1470,7200,2,0,0,4,1480,0,1949,1983,"aa"
2014-06-06,739000,3,3.75,1540,1602,2,0,0,3,1240,340,2008,0,"aa"
2014-05-09,851000,4,3.5,3090,9601,2,0,2,3,3370,0,2001,0,"ah"
2014-05-05,1395000,2,2.5,2220,641203,1,0,3,5,2130,0,1962,0,"ac"
2014-06-09,743700,4,2.5,2610,13458,2,0,2,3,2610,0,1980,0,"ae"
2014-06-15,506000,4,1,1530,10800,1.5,0,0,4,1530,0,1907,0,"ar"
2014-06-04,465000,4,2.5,1630,15711,1,0,0,4,930,680,1931,0,"aa"
2014-05-14,139000,4,1,1200,7200,1.5,0,0,3,1200,0,1944,0,"aa"
2014-06-04,907500,4,3.5,3760,15029,2,0,0,3,3090,850,1990,2009,"aj"
2014-06-04,175000,2,1,1170,9000,1,0,0,3,1150,0,1949,1998,"aq"
2014-06-24,329445,3,1.5,1750,6300,1.5,0,0,4,1320,450,1935,0,"aa"
2014-05-12,302000,2,1,860,3001,1,0,0,4,860,0,1906,1990,"aa"
2014-07-01,640000,3,2.5,2610,10481,2,0,0,3,2610,0,1993,0,"am"
2014-06-13,330000,4,2.5,1830,6753,2,0,0,3,1830,0,1990,2009,"ad"
2014-05-06,191000,3,1.5,1380,7620,1,0,0,4,1140,240,1983,0,"bd"
2014-05-14,620000,3,2.5,2480,14803,2,0,0,4,2480,0,1990,0,"ag"
2014-05-02,419000,3,2.25,1620,998,2.5,0,0,3,1540,80,2000,0,"ap"
2014-06-27,355000,4,2.75,2950,35070,1,0,0,4,1510,1450,1977,0,"af"
2014-05-13,464000,3,1,1230,7700,1,0,0,3,1230,0,1955,2005,"ac"
2014-06-02,629000,4,3.5,4250,18641,2,0,2,3,4660,0,2000,0,"ae"
2014-05-09,565000,4,2.5,2840,4500,2,0,0,3,2820,0,1994,0,"am"
2014-05-28,544500,3,2.5,1530,4000,2,0,0,3,1540,140,1994,0,"ap"
2014-05-28,6e+05,4,3,2790,45902,2,0,0,4,1600,1300,1969,0,"ap"
2014-06-23,320000,3,2.5,1950,9827,1,0,0,4,1910,0,1967,0,"az"
2014-05-13,0,5,3.25,3300,6202,1.5,0,4,3,3290,0,1928,2003,"aa"
2014-07-02,690000,4,2.5,2700,10083,2,0,0,3,2700,0,1988,2000,"ah"
2014-06-17,465950,3,1.5,1760,6869,1,0,0,3,1470,370,1954,2005,"ae"
2014-05-28,282508.888889,3,1,1090,6250,1,0,0,3,1090,0,1942,1999,"aa"
2014-07-07,1636000,3,2.5,3180,12824,2,0,2,3,3110,0,1989,0,"be"
2014-07-02,389000,4,1,1600,7800,1.5,0,0,3,1730,0,1970,2014,"ad"
2014-07-03,1195000,4,2.25,3160,13470,1.5,0,3,4,2020,1000,1969,0,"be"
2014-05-31,615000,3,2.25,2010,28593,1,0,0,3,1320,660,1961,2003,"ac"
2014-06-10,458663.888889,2,1,1170,4500,1,0,0,3,1000,200,1914,1988,"aa"
2014-06-18,284950,4,2.5,2390,8990,2,0,0,3,2380,0,2006,0,"ad"
2014-05-21,540000,1,2.5,1140,1027,3,0,0,3,740,350,2006,0,"aa"
2014-05-25,370000,4,2.5,2440,3680,2,0,0,3,2440,0,2007,0,"ad"
2014-07-07,593000,3,1.75,1650,4008,1,0,0,5,860,850,1924,1984,"aa"
2014-07-01,402500,4,2.5,3000,4500,2,0,0,3,3060,0,2005,0,"ay"
2014-06-11,250000,5,1,1710,7665,1,0,0,3,1200,500,1959,1989,"aa"
2014-06-12,235000,3,2,1440,8865,2,0,0,4,1460,0,1983,0,"af"
2014-05-20,450000,4,2.25,3250,24123,2,0,0,4,2720,550,1986,0,"bf"
2014-06-23,3e+05,3,1.75,1790,7650,1,0,0,4,1200,630,1984,0,"az"
2014-06-13,1125000,6,2.5,2920,54160,2,0,0,3,2980,0,1977,2004,"ac"
2014-05-23,478000,3,1.75,1560,1750,3,0,0,3,1540,0,2014,0,"am"
2014-06-30,530000,3,2.5,1610,1269,3,0,0,3,1540,0,2013,1923,"aa"
2014-05-21,442000,4,3.25,3010,6100,2,0,0,3,3020,0,2005,0,"ad"
2014-07-08,405000,3,1,1640,7424,2,0,0,4,1640,0,1975,0,"bc"
2014-05-27,495000,3,3.5,1740,2500,2,0,0,3,1680,0,1940,2003,"aa"
2014-05-19,440000,4,1.75,1940,5520,1,0,0,3,1200,620,1978,0,"aa"
2014-06-18,0,5,2.25,3740,8225,1,0,2,3,2140,1380,1977,2004,"az"
2014-05-28,285000,2,1.75,1651,7560,1,0,0,3,1680,0,1972,2001,"az"
2014-06-04,767450,4,2.5,2770,45514,1.5,0,0,3,2600,0,1957,2001,"ac"
2014-05-09,382000,3,1.75,1590,8700,1,0,0,4,1710,0,1973,0,"ad"
2014-06-26,1145000,4,3.5,4170,7089,2.5,0,0,3,2750,1230,1918,2009,"aa"
2014-07-07,437500,4,2.5,2380,42077,2,0,0,3,2400,0,1991,0,"bg"
2014-06-12,435500,3,2.5,1240,1252,3,0,0,3,1232,0,2005,0,"aa"
2014-05-20,599950,3,2.5,2410,4200,2,0,0,3,2400,0,1996,0,"am"
2014-05-27,360000,3,2,1370,8336,1,0,0,4,1410,0,1967,0,"ad"
2014-05-14,310000,2,1,820,3330,1,0,0,5,760,0,1916,0,"aa"
2014-06-18,1399950,4,2.5,3870,10046,1,0,0,3,2520,1500,1956,2000,"ac"
2014-05-29,484991.666667,4,2.75,1680,7410,1,0,0,5,1220,470,1972,0,"ae"
2014-06-30,427500,2,1.75,1510,3000,1.5,0,0,4,1350,200,1901,0,"aa"
2014-06-07,539000,3,1,1050,4160,1,0,0,3,1050,0,1924,2011,"aa"
2014-06-19,6e+05,4,1.75,2085,4800,1,0,0,5,1070,1020,1923,1934,"aa"
2014-06-24,970000,3,1.75,2640,6280,2,0,2,4,2630,0,1959,0,"aa"
2014-05-16,370000,4,1.75,2700,11325,1.5,0,0,3,2950,0,1984,0,"ao"
2014-07-09,395000,5,2.5,1700,2229,2,0,0,3,1600,0,2006,0,"ai"
2014-06-12,315000,3,3.25,1630,1432,2,0,0,3,1341,260,2009,0,"aa"
2014-07-03,1042031,4,2.75,2520,4275,3,0,0,4,2520,0,1991,0,"aa"
2014-05-30,750000,4,2.75,2840,4120,2,0,0,3,2860,0,2014,0,"am"
2014-06-03,437000,3,1.75,2220,7706,1,0,0,3,1260,950,1997,0,"am"
2014-07-08,468000,4,2.5,2286,6896,2,0,0,3,2300,0,2002,0,"ah"
2014-05-29,619000,4,2,2280,6000,1,0,0,4,960,1130,1951,1999,"aa"
2014-06-24,367500,3,1,1100,6757,1,0,0,4,1100,0,1953,1983,"ad"
2014-06-18,0,6,2.25,2570,12128,2,0,0,3,2580,0,1986,0,"ad"
2014-06-16,429000,4,2.25,2010,6000,2,0,0,3,1990,0,1995,0,"ap"
2014-05-09,839900,4,2.75,2730,1970,1.5,0,0,5,1750,1030,1909,1988,"aa"
2014-06-05,445000,3,2.5,1480,936,3,0,0,3,1463,0,2008,0,"aa"
2014-06-14,496752,3,2.25,1300,1334,3,0,0,3,1060,150,2012,1912,"aa"
2014-06-02,550000,5,2.5,2200,4738,2,0,0,3,2170,120,1999,0,"ah"
2014-06-14,496752,3,2,1630,5000,1,0,0,4,944,770,1949,1983,"aa"
2014-06-26,210000,3,1.5,1220,7410,1,0,0,3,1220,0,1966,1963,"az"
2014-05-23,585000,3,1,1230,4500,1.5,0,0,3,1170,0,1926,2002,"aa"
2014-05-20,409316,3,2.5,1800,2790,3,0,2,3,1800,0,2005,0,"aa"
2014-06-12,248000,4,2.25,2170,7665,2,0,0,4,2200,0,1969,0,"az"
2014-05-02,698000,4,1.75,2010,3800,1.5,0,2,3,1670,340,1926,2011,"aa"
2014-05-18,732000,4,2.5,2650,4004,2,0,0,3,2650,0,2003,0,"ap"
2014-06-27,1619999,4,3.25,3620,11000,2,0,0,3,2750,900,1923,2014,"aa"
2014-06-19,309000,3,2.5,1730,8490,1,0,0,5,1200,570,1978,0,"ad"
2014-05-02,675000,3,2.5,2390,4343,1,0,0,4,1180,1180,1926,1993,"aa"
2014-07-08,308950,3,1,1580,7800,1,0,0,3,1100,500,1962,2003,"aa"
2014-07-02,545000,3,2.25,1830,7020,2,0,0,3,1830,0,1984,0,"aa"
2014-05-29,3e+05,3,2.5,1720,99916,2,0,0,3,1720,0,1984,0,"at"
2014-06-12,173000,2,1,760,15000,1,0,0,2,760,0,1938,0,"aa"
2014-05-16,135333.333333,3,1,1040,5490,1,0,0,5,1040,0,1959,0,"ar"
2014-05-14,543000,3,2.5,2130,6970,2,0,0,3,2120,140,1978,0,"ac"
2014-06-23,199950,5,3.75,5340,4400,2,0,0,3,3570,1830,2012,1912,"ac"
2014-07-07,282766.666667,5,3,1890,7252,1,0,0,3,1770,300,1962,2003,"aa"
2014-06-25,804100,4,2.5,3500,6773,2,0,0,3,3488,0,1999,0,"am"
2014-07-07,450000,3,2,1920,8223,1.5,0,0,3,1840,0,1987,2000,"ad"
2014-06-12,1228000,4,3,3760,10900,2,0,0,4,2490,1420,1969,0,"aa"
2014-05-28,840000,4,2.5,3670,53173,1,0,0,4,3650,0,1957,2001,"ac"
2014-06-02,432500,3,2.5,2060,4036,2,0,0,3,2070,0,2010,0,"au"
2014-06-02,653000,4,2.5,2700,4332,2,0,0,4,2700,0,2000,0,"ag"
2014-05-27,477000,3,1,1450,4800,1,0,0,3,780,700,1924,2011,"aa"
2014-05-02,285000,3,2.5,1520,1709,3,0,0,3,1460,0,2007,0,"aa"
2014-06-22,874150,3,2.5,2590,5925,2,0,0,3,2590,0,2008,0,"aa"
2014-07-08,235000,2,1,770,8149,1,0,0,5,780,0,1942,0,"ae"
2014-05-28,178650,3,1.75,1490,8301,1,0,0,4,1490,0,1986,0,"an"
2014-06-26,210000,3,1,970,9812,1,0,0,3,970,0,1966,1963,"az"
2014-06-12,575000,2,0.75,1440,3000,1.5,0,0,5,1550,140,1902,0,"aa"
2014-05-19,215000,3,1,1160,8520,1,0,0,4,1160,0,1966,0,"az"
2014-06-16,435000,3,1.75,1500,8865,1,0,0,3,1490,0,1997,0,"ab"
2014-05-06,353000,3,1.5,1500,7740,1,0,0,4,940,510,1947,1989,"ai"
2014-06-09,325000,2,1,800,3330,1,0,0,4,800,0,1926,1993,"aa"
2014-05-09,224500,4,1.75,1670,8470,1,0,0,3,1360,290,1967,2011,"aq"
2014-05-07,5e+05,4,1.5,1500,2400,1.5,0,0,3,1310,200,1910,2014,"aa"
2014-05-21,350000,4,2.75,2070,22653,2,0,0,3,2080,0,1997,0,"bd"
2014-06-20,237000,4,2.25,1830,3000,2,0,0,3,1820,0,2002,0,"aq"
2014-05-08,559950,2,1,1240,5720,1,0,0,3,1090,200,1946,0,"aa"
2014-06-18,507000,4,2.5,2040,7475,2,0,0,3,2040,0,2003,0,"ae"
2014-05-13,464000,3,1.5,2060,10350,1,0,0,3,1190,870,1950,2005,"aa"
2014-05-21,3e+05,3,1,1220,11919,1,0,0,5,1220,0,1971,0,"ad"
2014-05-07,575000,2,2.25,2550,21675,1,0,0,3,2510,0,1959,1989,"bd"
2014-07-08,6e+05,4,2.25,2500,37800,2,0,0,4,2490,0,1987,0,"am"
2014-06-17,616000,3,1.75,1490,4800,1,0,0,3,1380,130,1987,2000,"aa"
